Checking naming conventions...
Invalid naming convention: README.md
Invalid naming convention: pre-push.old
Invalid naming convention: cspell.json
Invalid naming convention: ai-assets.json
Invalid naming convention: reuse.toml
Invalid naming convention: import-boundary-report.txt
Invalid naming convention: nx.json
Invalid naming convention: cleanup_log.txt
Invalid naming convention: remote.webpack.config.cjs
Invalid naming convention: host.webpack.config.js
Invalid naming convention: remote.webpack.config.js
Invalid naming convention: host.webpack.config.cjs
Invalid naming convention: generate.js
Invalid naming convention: README.md
Invalid naming convention: .DS_Store
Invalid naming convention: .nxignore
Invalid naming convention: codebase-index.json
Invalid naming convention: semantic-vectors.json
Invalid naming convention: test-devcontainer.sh
Invalid naming convention: QUICK-START.md
Invalid naming convention: README.md
Invalid naming convention: FIXES.md
Invalid naming convention: .dockerignore
Invalid naming convention: status-check.sh
Invalid naming convention: setup-env.sh
Invalid naming convention: common.sh
Invalid naming convention: wait-for-services.sh
Invalid naming convention: security-scan.sh
Invalid naming convention: install-tools.sh
Invalid naming convention: debug-extensions.sh
Invalid naming convention: validate-host.sh
Invalid naming convention: start-apps.sh
Invalid naming convention: install-deps.sh
Invalid naming convention: docker-socket-perms.sh
Invalid naming convention: WELCOME.txt
Invalid naming convention: test-functions.sh
Invalid naming convention: devcontainer.json
Invalid naming convention: .dockerignore
Invalid naming convention: bootstrap-dev.sh
Invalid naming convention: container-fix-summary.sh
Invalid naming convention: bootstrap-fullstack-dev.sh
Invalid naming convention: docker-helper.sh
Invalid naming convention: grafana-dashboard-api.json
Invalid naming convention: README.md
Invalid naming convention: otel-instrumentation.md
Invalid naming convention: docker-compose.yml
Invalid naming convention: prometheus.yml
Invalid naming convention: otel-collector-config.yml
Invalid naming convention: docker-compose.devcontainer.yaml
Invalid naming convention: docker-compose.prod.yaml
Invalid naming convention: docker-compose.dev.yaml
Invalid naming convention: prometheus.yml
Invalid naming convention: docker-compose.staging.yaml
Invalid naming convention: dev-up.sh
Invalid naming convention: dev-down.sh
Invalid naming convention: dev-service.sh
Invalid naming convention: jest.setup.js
Invalid naming convention: CHANGELOG.md
Invalid naming convention: tsconfig.base.json
Invalid naming convention: .lefthook.yml
Invalid naming convention: project.json
Invalid naming convention: README.md
Invalid naming convention: .semgrep.yml
Invalid naming convention: .swcrc
Invalid naming convention: audit-results.json
Invalid naming convention: results.ndjson
Invalid naming convention: .mcp.json
Invalid naming convention: critical-pages.spec.ts
Invalid naming convention: patterns.json
Invalid naming convention: lint-staged.config.js
Invalid naming convention: .keep
Invalid naming convention: controls.yml
Invalid naming convention: transparency-reports.md
